,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
1978-03-31,0.08333600000000001,0.061398,0.061006,0.038464,0.032813,0.020849000000000003
1978-04-30,0.074706,0.071971,0.09405200000000001,0.096113,0.074769,0.102177
1978-05-31,0.06867899999999999,0.044455,0.074529,0.027332000000000002,0.014157,0.015683
1978-06-30,-0.004946,0.014249000000000001,-0.002463,-0.010248,-0.017710999999999998,-0.010241
1978-07-31,0.051862000000000005,0.055458,0.065113,0.058754,0.055138999999999994,0.060202
1978-08-31,0.097819,0.07315,0.08599399999999999,0.042594,0.033208,0.044484
1978-09-30,-0.006653,-0.012056,-0.012523,0.0047870000000000005,-0.006894,-0.020741
1978-10-31,-0.207021,-0.17593,-0.224377,-0.108048,-0.08877800000000001,-0.113578
1978-11-30,0.051596,0.050316,0.07845200000000001,0.036923,0.027572,0.033774
1978-12-31,0.016981,0.015071000000000001,0.031559,0.005180000000000001,0.016513,0.019977
1979-01-31,0.099763,0.077083,0.083697,0.053994,0.04503,0.038433
1979-02-28,-0.021664,-0.025552000000000002,-0.02905,-0.027268,-0.027839999999999997,-0.039081000000000005
1979-03-31,0.10176299999999999,0.076001,0.10729699999999999,0.079746,0.05114,0.068332
1979-04-30,0.036793,0.01607,0.027161,0.000708,0.0041470000000000005,0.005567
1979-05-31,-0.009532,-0.012927,-0.018127,-0.024123000000000002,-0.014986999999999999,-0.009294
1979-06-30,0.049822,0.058756,0.060288,0.05497899999999999,0.03707,0.055672
1979-07-31,0.030713,0.033811,0.025200999999999998,0.026692999999999998,0.007348,0.021707
1979-08-31,0.075542,0.07557699999999999,0.085634,0.059669999999999994,0.055573,0.078696
1979-09-30,-0.003549,-0.007614999999999999,-0.000245,0.007638000000000001,-0.001307,-0.005696
1979-10-31,-0.113637,-0.10198800000000001,-0.098087,-0.058966000000000005,-0.066449,-0.077237
1979-11-30,0.078092,0.071334,0.100344,0.061944,0.050145,0.076319
1979-12-31,0.065663,0.058021,0.070728,0.020401,0.015894,0.03545
1980-01-31,0.084001,0.071908,0.083055,0.086074,0.052169999999999994,0.049191000000000006
1980-02-29,-0.020338,-0.02024,-0.014988,0.027334,-0.004061,-0.036447
1980-03-31,-0.17954,-0.16545500000000002,-0.19060500000000002,-0.133363,-0.09316,-0.101248
1980-04-30,0.067043,0.056708999999999996,0.063579,0.055220000000000005,0.046439,0.051945
1980-05-31,0.072157,0.079744,0.08358700000000001,0.06515699999999999,0.050969,0.066294
1980-06-30,0.040261,0.045323,0.052199999999999996,0.029647999999999997,0.031638,0.033844
1980-07-31,0.080832,0.089328,0.128172,0.073944,0.059421,0.07543
1980-08-31,0.054732,0.057085,0.065788,0.0166,0.016503,0.020086
1980-09-30,0.027059000000000003,0.024420999999999998,0.04949099999999999,0.022404,0.016998,0.057186
1980-10-31,0.029315,0.035983999999999995,0.046379000000000004,0.01818,0.01175,0.029665
1980-11-30,0.057055999999999996,0.052202,0.100863,0.08373799999999999,0.09964,0.150337
1980-12-31,-0.024971,-0.01891,-0.044694000000000005,-0.033083999999999995,-0.023417,-0.038841
1981-01-31,0.003644,0.008015,-0.02794,-0.029317000000000003,-0.029697,-0.08304399999999999
1981-02-28,0.014592,0.024856,0.0007639999999999999,0.031348,0.025403,0.003946
1981-03-31,0.06605699999999999,0.069981,0.090745,0.06765,0.027888000000000003,0.054235
1981-04-30,0.031485,0.031882,0.03136,-0.00321,-0.015295000000000001,-0.03394
1981-05-31,0.024207,0.025933,0.044558,-0.004502,0.008716,0.010843
1981-06-30,-0.0042699999999999995,0.0038469999999999997,-0.04053,-0.0031769999999999997,0.00030900000000000003,-0.020764
1981-07-31,-0.021653,-0.020344,-0.025244,-0.029376000000000003,-0.009266,0.02749
1981-08-31,-0.073626,-0.055805,-0.08936,-0.056193,-0.048037,-0.06814300000000001
1981-09-30,-0.073748,-0.059752,-0.093724,-0.053853,-0.03333,-0.084525
1981-10-31,0.076519,0.07014000000000001,0.086023,0.044903000000000005,0.03971,0.09114000000000001
1981-11-30,0.028365,0.049680999999999996,0.02028,0.055359,0.045859,0.043449
1981-12-31,-0.007684,-0.010794,-0.026484,-0.015368,-0.021394000000000003,-0.045658000000000004
1982-01-31,-0.027791999999999997,-0.022792,-0.046064999999999995,-0.025737,-0.005195999999999999,-0.046411
1982-02-28,-0.033083999999999995,-0.019828,-0.063567,-0.023051,-0.033573,-0.083956
1982-03-31,0.004462,0.003974,-0.020556,-0.004592,0.004202,-0.026962
1982-04-30,0.055170000000000004,0.049359,0.063896,0.062786,0.032841999999999996,0.055023
1982-05-31,-0.024113000000000002,-0.017473000000000002,-0.033068,-0.03998,-0.026469,-0.028555999999999998
1982-06-30,-0.019975,-0.014789000000000002,-0.033814000000000004,-0.008961,-0.004668,-0.045807
1982-07-31,-0.006855,-0.008076999999999999,-0.023073,-0.023651,-0.015711,-0.036226
1982-08-31,0.08629400000000001,0.085861,0.08362299999999999,0.133131,0.119482,0.13247899999999999
1982-09-30,0.037176999999999995,0.048027,0.030085,0.010672,0.014754,0.018229
1982-10-31,0.134071,0.130475,0.14675000000000002,0.14260799999999998,0.09868600000000001,0.135992
1982-11-30,0.097681,0.090512,0.085482,0.051818,0.039369999999999995,0.058159999999999996
1982-12-31,0.018283,0.008020000000000001,0.009823,0.009608,0.020754,-0.001989
1983-01-31,0.068079,0.055823,0.083951,0.041021999999999996,0.034085000000000004,0.036275
1983-02-28,0.07129400000000001,0.06680799999999999,0.042679,0.025701,0.027031999999999997,0.034107
1983-03-31,0.06834699999999999,0.054326,0.03087,0.052754,0.028334,0.034186999999999995
1983-04-30,0.082666,0.076433,0.073178,0.083861,0.075117,0.063217
1983-05-31,0.069652,0.050996,0.07153999999999999,-0.0023669999999999997,-0.013824000000000001,0.024286
1983-06-30,0.051453,0.043642,0.043526999999999996,0.025184,0.033119,0.048798
1983-07-31,-0.016587,-0.013206,-0.032547,-0.012206999999999999,-0.028553000000000002,-0.053857999999999996
1983-08-31,-0.035065,-0.020055,-0.037456,0.031382,0.013435999999999998,-0.003208
1983-09-30,0.020516,0.025057999999999997,0.015521,0.014764999999999999,0.022570999999999997,0.009726
1983-10-31,-0.047651000000000006,-0.041809000000000006,-0.071667,-0.007494,-0.007852,-0.043404
1983-11-30,0.052438000000000005,0.047880000000000006,0.039956,0.030607000000000002,0.019986999999999998,0.030379
1983-12-31,-0.007026,-0.009084,-0.021952,-0.001159,-0.008192,-0.01276
1984-01-31,-0.004414,-0.001225,-0.02459,0.0023580000000000003,-0.001043,-0.035163
1984-02-29,-0.054668,-0.04804,-0.056569,-0.023955999999999998,-0.032473999999999996,-0.052293000000000006
1984-03-31,0.018991,0.010829,0.008934,0.023424999999999998,0.010597,0.010541
1984-04-30,-0.008185,0.000952,-0.006705,0.013666000000000001,0.010398000000000001,-0.003292
1984-05-31,-0.055246,-0.037572,-0.061494,-0.061340000000000006,-0.050449,-0.04489
1984-06-30,0.022199,0.030291000000000002,0.031721,0.010658,0.033961,0.032549999999999996
1984-07-31,-0.058562,-0.020183,-0.047289000000000005,-0.040536,-0.011136,-0.008529
1984-08-31,0.10530099999999999,0.100422,0.130417,0.129727,0.099355,0.122729
1984-09-30,0.004689,0.016127,-0.020708999999999998,0.007561,0.005338000000000001,-0.014797
1984-10-31,-0.024792,0.002625,-0.012910999999999999,-0.008107999999999999,0.010914,0.000745
1984-11-30,-0.018675,-0.002452,-0.033511,-0.000156,-0.004222,-0.024293
1984-12-31,0.005579,0.022113,0.025163,0.021854,0.025658,0.027797000000000002
1985-01-31,0.10597300000000001,0.09814500000000001,0.137705,0.07102800000000001,0.068492,0.108491
1985-02-28,0.025571999999999998,0.025492,0.025007,0.026978,0.018625,0.0054600000000000004
1985-03-31,-0.010602,-0.001487,-0.026996000000000003,0.019518999999999998,0.004066,-0.021357
1985-04-30,-0.008495,0.008355,-0.015832,-0.0007920000000000001,-0.001967,-0.007749000000000001
1985-05-31,0.028919999999999998,0.037526000000000004,0.045453,0.054587000000000004,0.061258,0.066623
1985-06-30,0.00622,0.025246,0.022155,0.010426999999999999,0.019739,0.014952
1985-07-31,0.025781000000000002,0.021114,0.025628,-0.0053349999999999995,-0.008872999999999999,0.002224
1985-08-31,-0.0037459999999999998,0.006444999999999999,-0.020775000000000002,0.005556,-0.0033179999999999998,-0.016047
1985-09-30,-0.056006,-0.042587,-0.065389,-0.024788,-0.033115,-0.046919
1985-10-31,0.027808000000000003,0.041114,0.031215000000000003,0.034234,0.053329,0.052077
1985-11-30,0.046763000000000006,0.072168,0.079279,0.060828,0.072697,0.075331
1985-12-31,0.028662,0.045721,0.04673,0.035782,0.044726999999999996,0.053019
1986-01-31,0.013673999999999999,0.016257,0.02527,-0.013003,0.015834,0.015177000000000001
1986-02-28,0.05557,0.077581,0.075956,0.066262,0.09099399999999999,0.07053
1986-03-31,0.050140000000000004,0.052332000000000004,0.045124000000000004,0.058089,0.060412999999999994,0.046935000000000004
1986-04-30,0.008285,0.010885,0.021609,0.006602,-0.025944,-0.004711
1986-05-31,0.035677,0.050112,0.0337,0.063179,0.054082,0.043092
1986-06-30,0.0012770000000000001,0.014726999999999999,0.00031800000000000003,0.011087,0.030310999999999998,-0.004529
1986-07-31,-0.09485900000000001,-0.06991900000000001,-0.101313,-0.064283,-0.036444000000000004,-0.07409
1986-08-31,0.038635,0.035903,0.024554999999999997,0.105564,0.074112,0.053276000000000004
1986-09-30,-0.049256,-0.055526,-0.073883,-0.041132,-0.093421,-0.090732
1986-10-31,0.036137,0.029062,0.036097000000000004,0.065518,0.058052,0.045381
1986-11-30,0.000843,0.003739,-0.004404,0.020941,0.023331,0.012254000000000001
1986-12-31,-0.029751,-0.017674000000000002,-0.029713,-0.031695,-0.022433,-0.033503
1987-01-31,0.11899699999999999,0.10092499999999999,0.11930099999999999,0.112637,0.134109,0.132873
1987-02-28,0.076731,0.06862499999999999,0.078065,0.019110000000000002,0.03228,0.068677
1987-03-31,0.046959999999999995,0.014104,0.011263,0.058882000000000004,0.015064,0.011097
1987-04-30,-0.018408,-0.029886,-0.034522,-0.003132,-0.020401,-0.010228
1987-05-31,0.0058850000000000005,-7.3e-05,-0.001153,0.018531,0.005761,0.003061
1987-06-30,0.030389,0.028761000000000002,0.023774000000000003,0.05261999999999999,0.055618999999999995,0.037795999999999996
1987-07-31,0.052014,0.034258000000000004,0.023174999999999998,0.054939,0.035438,0.052140000000000006
1987-08-31,0.012076,0.037593,0.035835,0.038388,0.040982000000000005,0.045606999999999995
1987-09-30,-0.006848999999999999,-0.01423,-0.024466,-0.01242,-0.020792,-0.031214
1987-10-31,-0.297413,-0.263066,-0.320143,-0.21353999999999998,-0.20122,-0.235604
1987-11-30,-0.04672,-0.028687,-0.066928,-0.08982200000000001,-0.07063900000000001,-0.08162699999999999
1987-12-31,0.055849,0.06886,0.082065,0.06386599999999999,0.068105,0.08683099999999999
1988-01-31,0.057775,0.042645999999999996,0.032378,0.06046,0.040526,0.043939000000000006
1988-02-29,0.07765,0.08420299999999999,0.079986,0.054541000000000006,0.043208,0.05107300000000001
1988-03-31,0.044062000000000004,0.033739,0.031995,-0.0077659999999999995,-0.032313999999999996,-0.031382
1988-04-30,0.032369,0.020687999999999998,0.008449,0.018550999999999998,0.006192,0.004527
1988-05-31,-0.016398,-0.016191,-0.022534000000000002,0.002712,0.010401,0.002868
1988-06-30,0.049352,0.075655,0.075312,0.018732,0.056203,0.06323000000000001
