,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
1966-10-31,-0.039363,-0.018922,-0.029074,-0.031134,-0.053008,-0.0006270000000000001,0.002884,0.0033439999999999998,-0.0018759999999999998,-0.04796,0.020972,0.035039,0.01675,0.029073,-0.000799,0.039931,0.050233,0.02843,0.02506,-0.030929,0.085114,0.053834,0.056563,0.027515,-0.025637
1966-11-30,0.032992,0.030645,0.047117000000000006,0.034066,0.053978,0.033589,0.025667,0.010682,0.043762999999999996,0.069535,0.008924,0.036227,0.021195,0.046817000000000004,0.082735,0.009439,0.017408,0.035099,0.030243000000000003,0.11391899999999999,-0.020537999999999997,-0.013437,0.012728,0.068909,0.12859299999999999
1966-12-31,0.008944,-0.0042109999999999995,0.005865,0.002406,0.038709,0.005253,0.031848,0.014834,0.018302,0.030693,0.012704,0.023538999999999997,0.019666,0.024464,0.030116,0.021539000000000003,0.021188,0.038454999999999996,0.013959999999999998,0.021482,0.010051000000000001,-0.004,0.008345,-0.011105,-0.013041
1967-01-31,0.149448,0.177839,0.169661,0.20098500000000002,0.22084800000000002,0.127607,0.17114200000000002,0.17378900000000003,0.182845,0.224487,0.10747999999999999,0.103767,0.14641099999999999,0.143879,0.18266200000000002,0.068071,0.076899,0.071834,0.131422,0.159884,0.039384999999999996,0.075539,0.079436,0.098389,0.105702
1967-02-28,0.065624,0.033095,0.041134000000000004,0.050034,0.059649,0.046233,0.02404,0.024731,0.026635,0.033159,-0.000656,0.018599,0.003471,0.023717000000000002,0.024472,-0.001224,0.006309,0.010086999999999999,0.002767,0.033535,-0.005159,0.002924,0.006605,0.038714,0.011666000000000001
1967-03-31,0.072391,0.06248,0.056382,0.08590400000000001,0.063346,0.08002599999999999,0.050797,0.049529,0.074569,0.073861,0.029197,0.043329000000000006,0.049901,0.094068,0.056394,0.045158,0.042344999999999994,0.059285,0.059125,0.046046,0.03456,0.028043,0.053178,0.048962000000000006,0.058855000000000005
1967-04-30,0.048796,0.031835,0.049857,0.059562,0.047723,0.034057,0.061148999999999995,0.041821000000000004,0.039519,0.024350999999999998,0.024213,0.030546000000000004,0.027534999999999997,0.060828,0.05246000000000001,0.035668000000000005,0.040965999999999995,0.050471,0.039002,0.056153,0.005986,0.049804,0.036895,0.067618,0.072024
1967-05-31,-0.011144000000000001,0.026094,-0.00418,0.000383,-0.0008590000000000001,-0.0025269999999999997,-0.017666,-0.008611,-0.026181,-0.021398999999999998,-0.003897,-0.012553000000000002,-0.0276,-0.002626,-0.025301999999999998,-0.013756999999999998,-0.030552000000000003,-0.029538000000000002,0.00043599999999999997,0.004545,-0.03923,-0.048381999999999994,-0.046923000000000006,-0.054405,-0.068292
1967-06-30,0.120592,0.08666399999999999,0.121817,0.136365,0.127158,0.052986000000000005,0.060263,0.064121,0.094068,0.087254,0.044267,0.047271,0.033608,0.06397599999999999,0.070176,0.012994,0.031953,0.044226999999999995,0.050765000000000005,0.061704,0.015612999999999998,0.005180000000000001,0.01947,0.030634,0.012238
1967-07-31,0.099665,0.078073,0.08830299999999999,0.110369,0.11297800000000001,0.067709,0.07760600000000001,0.092369,0.077686,0.09058999999999999,0.064282,0.075238,0.051197,0.06464400000000001,0.074712,0.035141,0.056908,0.049456,0.08163500000000001,0.060549,0.019093,0.058205,0.04781,0.06833700000000001,0.076311
